epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
45,10080.7,0.52344,0.64422,0.34099,0.62265,0.5317,0.52533,0.24205,nan,nan,nan,0.0011288,0.0011288,0.0011288
46,10296,0.53377,0.63681,0.35116,0.58263,0.51333,0.53058,0.24678,nan,nan,nan,0.001109,0.001109,0.001109
47,10511.3,0.52177,0.61873,0.34164,0.61428,0.52023,0.53131,0.2551,0.58284,0.76643,0.56225,0.0010892,0.0010892,0.0010892
48,10726.4,0.50737,0.6292,0.33105,0.63272,0.52222,0.54113,0.25636,nan,nan,nan,0.0010694,0.0010694,0.0010694
49,10941.6,0.5051,0.63633,0.3324,0.60488,0.55451,0.57748,0.28317,nan,nan,nan,0.0010496,0.0010496,0.0010496
50,11156.9,0.49134,0.61188,0.31772,0.62227,0.5418,0.56144,0.27173,nan,nan,nan,0.0010298,0.0010298,0.0010298
51,11372,0.50668,0.61501,0.33159,0.57925,0.52,0.50948,0.24696,nan,nan,nan,0.00101,0.00101,0.00101
52,11587,0.49432,0.62205,0.32369,0.57785,0.45778,0.44865,0.21029,nan,nan,nan,0.0009902,0.0009902,0.0009902
53,11801.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009704,0.0009704,0.0009704
54,12016.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009506,0.0009506,0.0009506
55,12230.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009308,0.0009308,0.0009308
56,12444.6,0.48384,0.59765,0.30997,0,0,0,0,nan,nan,nan,0.000911,0.000911,0.000911
57,12658.5,0.4708,0.59569,0.30305,0,0,0,0,nan,nan,nan,0.0008912,0.0008912,0.0008912
58,12872.6,0.47188,0.58018,0.30074,0,0,0,0,nan,nan,nan,0.0008714,0.0008714,0.0008714
59,13086.7,0.47143,0.58754,0.30614,0,0,0,0,nan,nan,nan,0.0008516,0.0008516,0.0008516
60,13300.3,0.47871,0.5899,0.30814,0,0,0,0,nan,nan,nan,0.0008318,0.0008318,0.0008318
61,13513.9,0.4655,0.58304,0.30026,0,0,0,0,nan,nan,nan,0.000812,0.000812,0.000812
62,13727.8,0.46852,0.57409,0.30019,0,0,0,0,nan,nan,nan,0.0007922,0.0007922,0.0007922
63,13941.6,0.46524,0.55233,0.30246,0,0,0,0,nan,nan,nan,0.0007724,0.0007724,0.0007724
64,14155.9,0.4518,0.55766,0.28968,0,0,0,0,nan,nan,nan,0.0007526,0.0007526,0.0007526
65,14369.9,0.44383,0.55807,0.28167,0,0,0,0,nan,nan,nan,0.0007328,0.0007328,0.0007328
66,14583.2,0.45089,0.55817,0.28136,0,0,0,0,nan,nan,nan,0.000713,0.000713,0.000713
67,14796.8,0.44142,0.5532,0.2884,0,0,0,0,nan,nan,nan,0.0006932,0.0006932,0.0006932
68,15011.1,0.4436,0.55133,0.28297,0,0,0,0,nan,nan,nan,0.0006734,0.0006734,0.0006734
69,15224.4,0.43977,0.53025,0.27787,0,0,0,0,nan,nan,nan,0.0006536,0.0006536,0.0006536
70,15438.5,0.4276,0.53114,0.26999,0,0,0,0,nan,nan,nan,0.0006338,0.0006338,0.0006338
71,15652.5,0.43452,0.52529,0.27726,0,0,0,0,nan,nan,nan,0.000614,0.000614,0.000614
72,15866.4,0.43074,0.52221,0.27475,0,0,0,0,nan,nan,nan,0.0005942,0.0005942,0.0005942
73,16080.8,0.42262,0.53188,0.25847,0,0,0,0,nan,nan,nan,0.0005744,0.0005744,0.0005744
74,16295,0.42054,0.50945,0.26359,0,0,0,0,nan,nan,nan,0.0005546,0.0005546,0.0005546
75,16509.2,0.40921,0.50907,0.26032,0,0,0,0,nan,nan,nan,0.0005348,0.0005348,0.0005348
76,16723.1,0.40321,0.52039,0.25075,0,0,0,0,nan,nan,nan,0.000515,0.000515,0.000515
77,16936.7,0.40827,0.51634,0.2544,0,0,0,0,nan,nan,nan,0.0004952,0.0004952,0.0004952
78,17150.5,0.39489,0.49782,0.25172,0,0,0,0,nan,nan,nan,0.0004754,0.0004754,0.0004754
79,17364.9,0.39773,0.50856,0.25635,0,0,0,0,nan,nan,nan,0.0004556,0.0004556,0.0004556
80,17578.9,0.40531,0.49558,0.25716,0,0,0,0,nan,nan,nan,0.0004358,0.0004358,0.0004358
81,17793,0.39403,0.49527,0.24233,0,0,0,0,nan,nan,nan,0.000416,0.000416,0.000416
82,18006.7,0.39123,0.49244,0.24921,0,0,0,0,nan,nan,nan,0.0003962,0.0003962,0.0003962
83,18220.3,0.39038,0.47952,0.24492,0,0,0,0,nan,nan,nan,0.0003764,0.0003764,0.0003764
